conm,quarter,firm,tpuashare
VERSANT CORP,2010q1,VSNT,0
TAUBMAN CENTERS INC,2010q1,TCO,0
WESTMORELAND COAL CO,2010q1,WLBAQ,0
ATNA RESOURCES LTD,2010q1,ATNAQ,0
HIBBETT SPORTS INC,2010q1,HIBB,0
DOVER DOWNS GAMING & ENTMT,2010q1,DDE,0
OSHKOSH CORP,2010q1,OSK,0
QUEST DIAGNOSTICS INC,2010q1,DGX,0
BIOSCRIP INC,2010q1,BIOS.1,0
DIAMOND FOODS INC,2010q1,DMND,0
CAI INTERNATIONAL INC,2010q1,CAI,0
STONERIDGE INC,2010q1,SRI,0
MYERS INDUSTRIES INC,2010q1,MYE,0
SYPRIS SOLUTIONS INC,2010q1,SYPR,0
STEELCASE INC,2010q1,SCS,0
ENERNOC INC,2010q1,ENOC,0
MITCHAM INDUSTRIES INC,2010q1,MIND,0
LAKELAND INDUSTRIES INC,2010q1,LAKE,0
MILLIPORE CORP,2010q1,MIL.2,0
AEROVIRONMENT INC,2010q1,AVAV,0
LUMBER LIQUIDATORS HLDGS INC,2010q1,LL,0
APOLLO INVESTMENT CORP,2010q1,AINV,0
ATLAS ENERGY GROUP LLC,2010q1,ATLS,0
MICRUS ENDOVASCULAR CORP,2010q1,MEND,0
LIFETIME BRANDS INC,2010q1,LCUT,0
ABRAXAS PETROLEUM CORP/NV,2010q1,AXAS,0
AMERIGROUP CORP,2010q1,AGP,0
REIS INC,2010q1,REIS,0
QUESTCOR PHARMACEUTICALS INC,2010q1,QCOR,0
AMERICAN VANGUARD CORP,2010q1,AVD,0
NETSOL TECHNOLOGIES INC,2010q1,NTWK,0
OTIX GLOBAL INC,2010q1,OTIX,0
RPC INC,2010q1,RES,0
VALENCE TECHNOLOGY INC,2010q1,VLNCQ,0
RITE AID CORP,2010q1,RAD,0
AAR CORP,2010q1,AIR,0
QUALSTAR CORP,2010q1,QBAK,0
K-SWISS INC  -CL A,2010q1,KSWS,0
MULTI-COLOR CORP,2010q1,LABL,0
YUM BRANDS INC,2010q1,YUM,0
KIMBERLY-CLARK CORP,2010q1,KMB,0
ICAHN ENTERPRISES LP,2010q1,IEP,0
WEGENER CORP,2010q1,WGNR,0
LADISH CO INC,2010q1,LDSH,0
EHEALTH INC,2010q1,EHTH,0
DIONEX CORP,2010q1,DNEX,0
INTERSECTIONS INC,2010q1,INTX,0
OWENS & MINOR INC,2010q1,OMI,0
PAYCHEX INC,2010q1,PAYX,0
PROSPECT MEDICAL HLDGS INC,2010q1,PZZ,0
AVNET INC,2010q1,AVT,0
BROOKSTONE INC,2010q1,2270B,0
ACACIA RESEARCH CORP,2010q1,ACTG,0
BALDOR ELECTRIC CO,2010q1,BEZ,0
NATIONAL CINEMEDIA LLC,2010q1,NCMI1,0
ACME UNITED CORP,2010q1,ACU,0
LAYNE CHRISTENSEN CO,2010q1,LAYN,0
THERMO FISHER SCIENTIFIC INC,2010q1,TMO,0
RADIAN GROUP INC,2010q1,RDN,0
VEECO INSTRUMENTS INC,2010q1,VECO,0
MARKEL CORP,2010q1,MKL,0
TENET HEALTHCARE CORP,2010q1,THC,0
PAPA JOHNS INTERNATIONAL INC,2010q1,PZZA,0
TECUMSEH PRODUCTS CO,2010q1,TECU,0
GEORESOURCES INC,2010q1,GEOI,0
OCCIDENTAL PETROLEUM CORP,2010q1,OXY,0
TRIQUINT SEMICONDUCTOR INC,2010q1,TQNT,0
PROGINET CORP,2010q1,3PRGF,0
OWENS CORNING,2010q1,OC,0
ASTEC INDUSTRIES INC,2010q1,ASTE,0
SMITH (A.O.),2010q1,AOS,0
CABOT OIL & GAS CORP,2010q1,COG,0
ALPHA NATURAL RESOURCES INC,2010q1,ANRZQ,0
EDGEWATER TECHNOLOGY INC,2010q1,EDGW,0
CLOUD PEAK ENERGY INC,2010q1,CLDPQ,0
HORMEL FOODS CORP,2010q1,HRL,0
SAGA COMMUNICATIONS  -CL A,2010q1,SGA,0
OFFICEMAX INC,2010q1,OMX,0
EXPONENT INC,2010q1,EXPO,0
IMMERSION CORP,2010q1,IMMR,0
EXACT SCIENCES CORP,2010q1,EXAS,0
KEITHLEY INSTRUMENTS INC,2010q1,KEI,0
CROWN CRAFTS INC,2010q1,CRWS,0
SEALED AIR CORP,2010q1,SEE,0
VISHAY INTERTECHNOLOGY INC,2010q1,VSH,0
COHERENT INC,2010q1,COHR,0
BROWN & BROWN INC,2010q1,BRO,0
M & F WORLDWIDE CORP,2010q1,MFW,0
STERLING CONSTRUCTION CO INC,2010q1,STRL,0
ELITE PHARMACEUTICALS INC,2010q1,ELTP,0
HORACE MANN EDUCATORS CORP,2010q1,HMN,0
ROSS STORES INC,2010q1,ROST,0
AGILENT TECHNOLOGIES INC,2010q1,A,0
SHORETEL INC,2010q1,SHOR,0
MICROS SYSTEMS INC,2010q1,MCRS,0
CONSTELLATION BRANDS,2010q1,STZ,0
NAVIGANT CONSULTING INC,2010q1,NCI,0
BALLANTYNE STRONG INC,2010q1,BTN,0
PFSWEB INC,2010q1,PFSW,0
ENER1 INC,2010q1,HEVVQ,0
DIALYSIS CORP OF AMERICA,2010q1,DCAI,0
BLUE COAT SYSTEMS INC,2010q1,BCSI,0
UNIVERSAL ELECTRONICS INC,2010q1,UEIC,0
RADISYS CORP,2010q1,RSYS,0
TEMPLE-INLAND INC,2010q1,TIN,0
SUCCESSFACTORS INC,2010q1,SFSF,0
CALIPER LIFE SCIENCES INC,2010q1,CALP,0
SHUTTERFLY INC,2010q1,SFLY,0
HARLEYSVILLE GROUP INC,2010q1,HGIC,0
NUCOR CORP,2010q1,NUE,0
QUAKER CHEMICAL CORP,2010q1,KWR,0
NESS TECHNOLOGIES INC,2010q1,NSTC,0
RANGE RESOURCES CORP,2010q1,RRC,0
SOLUTIA INC,2010q1,SOA,0
NII HOLDINGS INC,2010q1,NIHD,0
HOST HOTELS & RESORTS LP,2010q1,HST1,0
COMVERGE INC,2010q1,COMV,0
PARKER-HANNIFIN CORP,2010q1,PH,0
ANGIODYNAMICS INC,2010q1,ANGO,0
NORDSON CORP,2010q1,NDSN,0
DISNEY (WALT) CO,2010q1,DIS,0
ORBCOMM INC,2010q1,ORBC,0
MCGRATH RENTCORP,2010q1,MGRC,0
MAD CATZ INTERACTIVE INC,2010q1,MCZAF,0
ALTRIA GROUP INC,2010q1,MO,0
LIMELIGHT NETWORKS INC,2010q1,LLNW,0
USG CORP,2010q1,USG,0
MEADWESTVACO CORP,2010q1,MWV,0
CRACKER BARREL OLD CTRY STOR,2010q1,CBRL,0
ACADIA PHARMACEUTICALS INC,2010q1,ACAD,0
BIG LOTS INC,2010q1,BIG,0
MEDCATH CORP,2010q1,MDTH,0
BTU INTERNATIONAL INC,2010q1,BTUI,0
PENN NATIONAL GAMING INC,2010q1,PENN,0
GIBRALTAR INDUSTRIES INC,2010q1,ROCK,0
NUTRISYSTEM INC,2010q1,NTRI,0
ACCELLENT INC,2010q1,5298B,0
CUMULUS MEDIA INC,2010q1,CMLS,0
DIEBOLD NIXDORF INC,2010q1,DBD,0
SMITH MICRO SOFTWARE INC,2010q1,SMSI,0
NEWPARK RESOURCES,2010q1,NR,0
CARIBOU COFFEE CO,2010q1,CBOU,0
STEWART ENTERPRISES  -CL A,2010q1,STEI,0
KILROY REALTY CORP,2010q1,KRC,0
ECOLAB INC,2010q1,ECL,0
MATTSON TECHNOLOGY INC,2010q1,MTSN,0
FORRESTER RESEARCH INC,2010q1,FORR,0
ALNYLAM PHARMACEUTICALS INC,2010q1,ALNY,0
ARK RESTAURANTS CORP,2010q1,ARKR,0
SHOE CARNIVAL INC,2010q1,SCVL,0
HEARUSA INC,2010q1,HEARQ,0
GRAHAM CORP,2010q1,GHM,0
MARTEK BIOSCIENCES CORP,2010q1,MATK,0
HEALTHSPRING INC,2010q1,HS.2,0
KAISER ALUMINUM CORP,2010q1,KALU,0
PLUG POWER INC,2010q1,PLUG,0
AMAG PHARMACEUTICALS INC,2010q1,AMAG,0
JAKKS PACIFIC INC,2010q1,JAKK,0
CARTER'S INC,2010q1,CRI,0
GP STRATEGIES CORP,2010q1,GPX,0
CORVEL CORP,2010q1,CRVL,0
CAPELLA EDUCATION CO,2010q1,CPLA,0
EQUITY ONE INC,2010q1,EQY,0
SAKS INC,2010q1,SKS,0
POLYCOM INC,2010q1,PLCM,0
TECH DATA CORP,2010q1,TECD,0
PENSKE AUTOMOTIVE GROUP INC,2010q1,PAG,0
BROWN FORMAN CORP,2010q1,BF.B,0
ELLIS PERRY INTL INC,2010q1,PERY,0
NORTECH SYSTEMS INC,2010q1,NSYS,0
NATURAL GAS SERVICES GROUP,2010q1,NGS,0
SYNOPSYS INC,2010q1,SNPS,0
ZAGG INC,2010q1,ZAGG,0
IXYS CORP,2010q1,IXYS,0
ESTERLINE TECHNOLOGIES CORP,2010q1,ESL,0
CSX CORP,2010q1,CSX,0
GENZYME CORP,2010q1,GENZ,0
HESS CORP,2010q1,HES,0
SIGMA DESIGNS INC,2010q1,SIGM,0
NTELOS HOLDINGS CORP,2010q1,NTLS,0
K12 INC,2010q1,LRN,0
UNIFIRST CORP,2010q1,UNF,0
CAPITAL SENIOR LIVING CORP,2010q1,CSU,0
EPLUS INC,2010q1,PLUS,0
FMC CORP,2010q1,FMC,0
SHERWIN-WILLIAMS CO,2010q1,SHW,0
LYDALL INC,2010q1,LDL,0
ACCURIDE CORP,2010q1,ACW,0
GMX RESOURCES INC,2010q1,GMXRQ,0
NEWFIELD EXPLORATION CO,2010q1,NFX,0
MEDIFAST INC,2010q1,MED,0
ECLIPSYS CORP,2010q1,ECLP,0
MKS INSTRUMENTS INC,2010q1,MKSI,0
PCTEL INC,2010q1,PCTI,0
NEXSTAR MEDIA GROUP,2010q1,NXST,0
BREITBURN ENERGY PARTNERS LP,2010q1,BBEPQ,0
KVH INDUSTRIES INC,2010q1,KVHI,0
LEGGETT & PLATT INC,2010q1,LEG,0
PATTERSON-UTI ENERGY INC,2010q1,PTEN,0
EAGLE BULK SHIPPING INC,2010q1,EGLE,0
LANCASTER COLONY CORP,2010q1,LANC,0
EASTGROUP PROPERTIES,2010q1,EGP,0
STATE AUTO FINANCIAL CORP,2010q1,STFC,0
ALBEMARLE CORP,2010q1,ALB,0
INTELLICHECK INC,2010q1,IDN,0
LEAPFROG ENTERPRISES INC,2010q1,LF,0
CITRIX SYSTEMS INC,2010q1,CTXS,0
HOLLY ENERGY PARTNERS LP,2010q1,HEP,0
STEREOTAXIS INC,2010q1,STXS,0
PROLOGIS INC,2010q1,PLD,0
INTERCLICK INC,2010q1,ICLK.1,0
DIVX INC,2010q1,DIVX.1,0
PDL BIOPHARMA INC,2010q1,PDLI,0
KOPIN CORP,2010q1,KOPN,0
MATTHEWS INTL CORP  -CL A,2010q1,MATW,0
POOL CORP,2010q1,POOL,0
CLARCOR INC,2010q1,CLC,0
SIMULATIONS PLUS INC,2010q1,SLP,0
PARK CITY GROUP INC,2010q1,PCYG,0
WATTS WATER TECHNOLOGIES INC,2010q1,WTS,0
NALCO HOLDING CO,2010q1,NLC,0
ANADYS PHARMACEUTICALS INC,2010q1,ANDS,0
SYNNEX CORP,2010q1,SNX,0
HENRY BROS ELECTRONICS INC,2010q1,HBE,0
WILEY (JOHN) & SONS  -CL A,2010q1,JW.A,0
MCCORMICK & CO INC,2010q1,MKC,0
ARGON ST INC,2010q1,STST.1,0
MAGMA DESIGN AUTOMATION INC,2010q1,LAVA,0
PLEXUS CORP,2010q1,PLXS,0
MOODY'S CORP,2010q1,MCO,0
BLUE NILE INC,2010q1,NILE,0
BJ'S WHOLESALE CLUB INC,2010q1,BJ.1,0
IRIDEX CORP,2010q1,IRIX,0
SCICLONE PHARMACEUTICALS INC,2010q1,SCLN,0
PACCAR INC,2010q1,PCAR,0
ITT EDUCATIONAL SERVICES INC,2010q1,ESINQ,0
MERGE HEALTHCARE INC,2010q1,MRGE.1,0
BEACON POWER CORP,2010q1,BCONQ,0
KID BRANDS INC,2010q1,KIDBQ,0
TEXAS INSTRUMENTS INC,2010q1,TXN,0
APPLIED INDUSTRIAL TECH INC,2010q1,AIT,0
DOLLAR THRIFTY AUTOMOTIVE GP,2010q1,DTGF,0
IROBOT CORP,2010q1,IRBT,0
LOCKHEED MARTIN CORP,2010q1,LMT,0
DREAMWORKS ANIMATION SKG INC,2010q1,DWA,0
SOURCEFIRE INC,2010q1,FIRE,0
RSC HOLDINGS INC,2010q1,RRR.2,0
KELLY SERVICES INC  -CL A,2010q1,KELYA,0
QUICKSILVER RESOURCES INC,2010q1,KWKAQ,0
NEKTAR THERAPEUTICS,2010q1,NKTR,0
AARON'S INC,2010q1,AAN,0
CHIQUITA BRANDS INTL INC,2010q1,CQB,0
BIO REFERENCE LABS,2010q1,BRLI,0
GYMBOREE CORP,2010q1,0160A,0
THOMPSON CREEK METALS CO INC,2010q1,TCPTF,0
GENTEX CORP,2010q1,GNTX,0
ADVANCED ENERGY INDS INC,2010q1,AEIS,0
LANDEC CORP,2010q1,LNDC,0
MANHATTAN ASSOCIATES INC,2010q1,MANH,0
WARNACO GROUP INC,2010q1,WRC,0
CLOROX CO/DE,2010q1,CLX,0
SKYWEST INC,2010q1,SKYW,0
JOURNAL COMMUNICATIONS INC,2010q1,JRN,0
BLONDER TONGUE LABS INC,2010q1,BDR,0
NAUTILUS INC,2010q1,NLS,0
NEWTEK BUSINESS SERVICES CP,2010q1,NEWT,0
TRUBION PHARMACEUTICALS INC,2010q1,TRBN,0
PROCERA NETWORKS INC,2010q1,PKT,0
TEXTRON INC,2010q1,TXT,0
KIT DIGITAL INC,2010q1,KITDQ,0
ORBITZ WORLDWIDE INC,2010q1,OWW,0
NOVAVAX INC,2010q1,NVAX,0
CORNING INC,2010q1,GLW,0
MANITOWOC CO,2010q1,MTW,0
TERRA INDUSTRIES INC,2010q1,TRA,0
WORLD WRESTLING ENTMT INC,2010q1,WWE,0
MCG CAPITAL CORP,2010q1,MCGC,0
PHARMATHENE INC,2010q1,PIP,0
ST JUDE MEDICAL INC,2010q1,STJ,0
SUPERIOR ENERGY SERVICES INC,2010q1,SPN,0
WILLIAMS-SONOMA INC,2010q1,WSM,0
PUBLIC STORAGE,2010q1,PSA,0
US DATAWORKS INC,2010q1,UDWKQ,0
RENTRAK CORP,2010q1,RENT,0
RENT-A-CENTER INC,2010q1,RCII,0
TEXAS ROADHOUSE INC,2010q1,TXRH,0
ACETO CORP,2010q1,ACETQ,0
SPECTRUM CONTROL INC,2010q1,SPEC.2,0
ANSWERS CORP,2010q1,ANSW,0
DAWSON GEOPHYSICAL CO,2010q1,DWSN,0
LANNETT CO INC,2010q1,LCI,0
DARDEN RESTAURANTS INC,2010q1,DRI,0
INUVO INC,2010q1,INUV,0
BSQUARE CORP,2010q1,BSQR,0
PACTIV CORP,2010q1,PTV,0
EBAY INC,2010q1,EBAY,0
FULLER (H. B.) CO,2010q1,FUL,0
STREAM GLOBAL SERVICES INC,2010q1,SGS,0
MYRIAD GENETICS INC,2010q1,MYGN,0
CAPSTONE THERAPEUTICS CORP,2010q1,CAPS,0
ROCKY BRANDS INC,2010q1,RCKY,0
PROTECTIVE LIFE CORP,2010q1,PL,0
ERIE INDEMNITY CO,2010q1,ERIE,0
MEDIWARE INFORMATION SYSTEMS,2010q1,MEDW,0
BRISTOW GROUP INC,2010q1,BRSWQ,0
COMARCO INC,2010q1,CMRO,0
DISCOVERY INC,2010q1,DISCA,0
SOCKET MOBILE INC,2010q1,SCKT,0
PROSPECT CAPITAL CORP,2010q1,PSEC,0
HAWK CORP,2010q1,HWK,0
MEMSIC INC,2010q1,MEMS,0
ZALE CORP,2010q1,ZLC,0
RUE21 INC,2010q1,RUE,0
BEACON ROOFING SUPPLY INC,2010q1,BECN,0
ATC TECHNOLOGY CORP,2010q1,ATAC.1,0
STEEL DYNAMICS INC,2010q1,STLD,0
BLOCK H & R INC,2010q1,HRB,0
CHRISTOPHER & BANKS CORP,2010q1,CBKC,0
TALON INTERNATIONAL INC,2010q1,TALN,0
WIDEPOINT CORP,2010q1,WYY,0
NORFOLK SOUTHERN CORP,2010q1,NSC,0
MILLER (HERMAN) INC,2010q1,MLHR,0
ANSYS INC,2010q1,ANSS,0
SCHULMAN (A.) INC,2010q1,SHLM,0
RED LION HOTELS CORP,2010q1,RLH,0
CLARIENT INC,2010q1,CLRT,0
WYNDHAM DESTINATIONS INC,2010q1,WYND,0
UQM TECHNOLOGIES INC,2010q1,UQM,0
KNOLOGY INC,2010q1,KNOL,0
ARENA PHARMACEUTICALS INC,2010q1,ARNA,0
CENTENE CORP,2010q1,CNC,0
SALARY.COM INC,2010q1,SLRY,0
NATIONAL TECHNICAL SYS INC,2010q1,NTSC,0
JDA SOFTWARE GROUP INC,2010q1,JDAS,0
ACTUANT CORP  -CL A,2010q1,ATU,0
COMPOSITE TECHNOLOGY CORP,2010q1,CPTCQ,0
MACERICH CO,2010q1,MAC,0
ALLOY INC,2010q1,ALOY,0
ENGLOBAL CORP,2010q1,ENG,0
CRAWFORD & CO,2010q1,CRD.A,0
POWER INTEGRATIONS INC,2010q1,POWI,0
ULTRALIFE CORP,2010q1,ULBI,0
RCM TECHNOLOGIES INC,2010q1,RCMT,0
NEW FRONTIER MEDIA INC,2010q1,NOOF,0
CONVERGYS CORP,2010q1,CVG,0
ADDUS HOMECARE CORP,2010q1,ADUS,0
COMMUNITY HEALTH SYSTEMS INC,2010q1,CYH,0
WEBSENSE INC,2010q1,WBSN,0
ALMOST FAMILY INC,2010q1,AFAM,0
PARKWAY PROPERTIES INC,2010q1,PKY.1,0
TENNANT CO,2010q1,TNC,0
AMICUS THERAPEUTICS INC,2010q1,FOLD,0
PROGRESS SOFTWARE CORP,2010q1,PRGS,0
VIASAT INC,2010q1,VSAT,0
MAC-GRAY CORP,2010q1,TUC,0
YRC WORLDWIDE INC,2010q1,YRCW,0
VALERO ENERGY CORP,2010q1,VLO,0
CON-WAY INC,2010q1,CNW,0
LANDRYS RESTAURANTS INC,2010q1,LNY,0
INSIGHT ENTERPRISES INC,2010q1,NSIT,0
ALLIED MOTION TECHNOLOGIES,2010q1,AMOT,0
RF MONOLITHICS INC,2010q1,RFMI,0
AMERICA SERVICE GROUP INC,2010q1,ASGR,0
NEW YORK MORTGAGE TRUST INC,2010q1,NYMT,0
MEDIA GENERAL INC  -OLD,2010q1,MEG.1,0
CEVA INC,2010q1,CEVA,0
HOOPER HOLMES INC,2010q1,HPHWQ,0
SPAN-AMERICA MEDICAL SYS INC,2010q1,SPAN,0
ASTRONICS CORP,2010q1,ATRO,0
ISLE OF CAPRI CASINOS INC,2010q1,ISLE,0
ENDEAVOUR INTERNATIONAL CORP,2010q1,ENDRQ,0
SIMPSON MANUFACTURING INC,2010q1,SSD,0
SONOCO PRODUCTS CO,2010q1,SON,0
FORTUNE INDUSTRIES INC,2010q1,FDVF,0
CORE MARK HOLDING CO INC,2010q1,CORE,0
I D SYSTEMS INC,2010q1,IDSY,0
EXTRA SPACE STORAGE INC,2010q1,EXR,0
TELEFLEX INC,2010q1,TFX,0
EDGAR ONLINE INC,2010q1,EDGR,0
TRANSMONTAIGNE PARTNERS LP,2010q1,TLP,0
BRINKER INTL INC,2010q1,EAT,0
WYNN RESORTS LTD,2010q1,WYNN,0
TELLABS INC,2010q1,TLAB,0
SONIC FOUNDRY INC,2010q1,SOFO,0
PINNACLE ENTERTAINMENT INC,2010q1,PNK,0
HANSEN MEDICAL INC,2010q1,HNSN,0
ROGERS CORP,2010q1,ROG,0
BALDWIN TECHNOLOGY CO  -CL A,2010q1,BLD.2,0
MEDIACOM COMMUNICATIONS CORP,2010q1,MCCC,0
DATA I/O CORP,2010q1,DAIO,0
LIGHTBRIDGE CORP,2010q1,LTBR,0
PHARMACYCLICS INC,2010q1,PCYC,0
TORO CO,2010q1,TTC,0
ENTECH SOLAR INC,2010q1,ENSL,0
HILLENBRAND INC,2010q1,HI,0
GEEKNET INC,2010q1,GKNT,0
BIMINI CAPITAL MANAGEMENT,2010q1,BMNM,0
BORGWARNER INC,2010q1,BWA,0
BADGER METER INC,2010q1,BMI,0
COSI INC,2010q1,COSIQ,0
AMERICAN COMMERCIAL LINES,2010q1,ACLI,0
ANDERSONS INC,2010q1,ANDE,0
APPLIED SIGNAL TECHNOLOGY,2010q1,APSG,0
PIER 1 IMPORTS INC/DE,2010q1,PIR,0
ORTHOFIX MEDICAL INC,2010q1,OFIX,0
SEQUENOM INC,2010q1,SQNM,0
CABOT MICROELECTRONICS CORP,2010q1,CCMP,0
VMWARE INC -CL A,2010q1,VMW,0
STARBUCKS CORP,2010q1,SBUX,0
IMPLANT SCIENCES CORP -OLD,2010q1,IMSC.2,0
SYNTHESIS ENERGY SYSTEMS INC,2010q1,SES,0
GREAT WOLF RESORTS INC,2010q1,WOLF,0
MARKWEST ENERGY PARTNERS LP,2010q1,MWE,0
VIRAGE LOGIC CORP,2010q1,VIRL,0
STONEMOR PARTNERS LP,2010q1,STON,0
BIOMET INC,2010q1,5938B,0
TRANSGENOMIC INC,2010q1,TBIOD,0
GENERAL DYNAMICS CORP,2010q1,GD,0
WORLD FUEL SERVICES CORP,2010q1,INT,0
ECHOSTAR CORP,2010q1,SATS,0
VIROPHARMA INC,2010q1,VPHM,0
CRYOLIFE INC,2010q1,CRY,0
MWI VETERINARY SUPPLY,2010q1,MWIV,0
SUCAMPO PHARMACEUTICALS INC,2010q1,SCMP,0
OREXIGEN THERAPEUTICS INC,2010q1,OREXQ,0
AMERICAN AXLE & MFG HOLDINGS,2010q1,AXL,0
MASCO CORP,2010q1,MAS,0
REXNORD CORP,2010q1,RXN,0
ICAD INC,2010q1,ICAD,0
XOMA CORP,2010q1,XOMA,0
VITACOST.COM INC,2010q1,VITC,0
FEDERAL SIGNAL CORP,2010q1,FSS,0
CASCADE CORP,2010q1,CASC.2,0
TUTOR PERINI CORP,2010q1,TPC,0
DEVON ENERGY CORP,2010q1,DVN,0
TRIMAS CORP,2010q1,TRS,0
REHABCARE GROUP INC,2010q1,RHB,0
BORDERS GROUP INC,2010q1,BGPIQ,0
POKERTEK INC,2010q1,PTEK,0
AIR METHODS CORP,2010q1,AIRM,0
NEUROMETRIX INC,2010q1,NURO,0
DOVER CORP,2010q1,DOV,0
P F CHANGS CHINA BISTRO INC,2010q1,PFCB,0
MADDEN STEVEN LTD,2010q1,SHOO,0
VERENIUM CORP,2010q1,VRNM,0
CENVEO INC,2010q1,CVOVQ,0
IPAYMENT INC,2010q1,0030B,0
COLFAX CORP,2010q1,CFX,0
TOWERSTREAM CORP,2010q1,TWER,0
SUNSTONE HOTEL INVESTORS INC,2010q1,SHO,0
FREDS INC,2010q1,FRED,0
CHARTER COMMUNICATIONS INC,2010q1,CHTR,0
STONE ENERGY CORP,2010q1,SGY,0
HARMAN INTERNATIONAL INDS,2010q1,HAR,0
INTERNATIONAL COAL GROUP INC,2010q1,ICO,0
WARREN RESOURCES INC,2010q1,WRESQ,0
INTEGRAMED AMERICA INC,2010q1,INMD.1,0
PPG INDUSTRIES INC,2010q1,PPG,0
PMA CAPITAL CORP,2010q1,PMACA,0
SUNRISE SENIOR LIVING INC,2010q1,SRZ,0
THQ INC,2010q1,THQIQ,0
GLOBAL PAYMENTS INC,2010q1,GPN,0
CITI TRENDS INC,2010q1,CTRN,0
AOL INC,2010q1,AOL,0
O'REILLY AUTOMOTIVE INC,2010q1,ORLY,0
MAGNETEK INC,2010q1,MAG.3,0
INFINITY PROPERTY & CAS CORP,2010q1,IPCC,0
USANA HEALTH SCIENCES INC,2010q1,USNA,0
ENERGY RECOVERY INC,2010q1,ERII,0
SPARTAN MOTORS INC,2010q1,SPAR,0
ULTICOM INC,2010q1,ULCM,0
TIME WARNER CABLE INC,2010q1,TWC,0
INHIBITEX INC,2010q1,INHX,0
SPX CORP,2010q1,SPXC,0
ADOBE INC,2010q1,ADBE,0
SUPERVALU INC,2010q1,SVU,0
SKILLED HEALTHCARE GROUP INC,2010q1,SKH,0
SCHOOL SPECIALTY INC,2010q1,SCOO,0
METALICO INC,2010q1,MEA,0
PLAINS ALL AMER PIPELNE  -LP,2010q1,PAA,0
VICOR CORP,2010q1,VICR,0
CORNERSTONE THERAPEUTICS INC,2010q1,CRTX.1,0
ELECTRO SCIENTIFIC INDS INC,2010q1,ESIO,0
SILGAN HOLDINGS INC,2010q1,SLGN,0
BEAZER HOMES USA INC,2010q1,BZH,0
CAS MEDICAL SYSTEMS INC,2010q1,CASM,0
COURIER CORP,2010q1,CRRC,0
SELECTIVE INS GROUP INC,2010q1,SIGI,0
NOBLE ENERGY INC,2010q1,NBL,.011477103
VECTOR GROUP LTD,2010q1,VGR,0
JOY GLOBAL INC,2010q1,JOY,0
PENFORD CORP,2010q1,PENX,0
JOE'S JEANS INC,2010q1,JOEZ,0
VIASYSTEMS GROUP INC,2010q1,VIAS,0
WHIRLPOOL CORP,2010q1,WHR,0
ATHEROS COMMUNICATIONS INC,2010q1,ATHR,0
PAETEC HOLDING CORP,2010q1,PAET,0
COLDWATER CREEK INC,2010q1,CWTRQ,0
LITHIA MOTORS INC  -CL A,2010q1,LAD,0
HARRY & DAVID HOLDINGS INC,2010q1,HARR,0
RELIV INTERNATIONAL INC,2010q1,RELV,0
KAR AUCTION SERVICES INC,2010q1,KAR,0
PALL CORP,2010q1,PLL.1,0
NTN BUZZTIME INC,2010q1,NTN,0
SUN COMMUNITIES INC,2010q1,SUI,0
NASH FINCH CO,2010q1,NAFC,0
TNS INC,2010q1,TNS,0
AEHR TEST SYSTEMS,2010q1,AEHR,0
CARMAX INC,2010q1,KMX,0
GENESIS ENERGY  -LP,2010q1,GEL,0
WESTWOOD ONE INC  -OLD,2010q1,WWON,0
AK STEEL HOLDING CORP,2010q1,AKS,0
ARRAY BIOPHARMA INC,2010q1,ARRY,0
MAGELLAN MIDSTREAM PRTNRS LP,2010q1,MMP,.012086052
MICRON TECHNOLOGY INC,2010q1,MU,0
STREAMLINE HEALTH SOLUTIONS,2010q1,STRM,0
SIRONA DENTAL SYSTEMS INC,2010q1,SIRO,0
OTELCO INC,2010q1,OTEL,0
MISTRAS GROUP INC,2010q1,MG,0
HEIDRICK & STRUGGLES INTL,2010q1,HSII,0
VF CORP,2010q1,VFC,0
GARTNER INC,2010q1,IT,0
TEAM INC,2010q1,TISI,0
BALCHEM CORP  -CL B,2010q1,BCPC,0
AMEDISYS INC,2010q1,AMED,0
INTERNAP CORP,2010q1,INAP,0
ROCKWELL AUTOMATION,2010q1,ROK,0
SEMTECH CORP,2010q1,SMTC,0
LIFE TECHNOLOGIES CORP,2010q1,LIFE.3,0
LEVEL 3 COMMUNICATIONS INC,2010q1,LVLT,0
MARATHON OIL CORP,2010q1,MRO,0
TPC GROUP INC,2010q1,TPCG,0
G&K SERVICES INC  -CL A,2010q1,GK,0
NORDSTROM INC,2010q1,JWN,0
ANADIGICS INC,2010q1,ANAD,0
PERICOM SEMICONDUCTOR CORP,2010q1,PSEM,0
CHICOS FAS INC,2010q1,CHS,0
PRGX GLOBAL INC,2010q1,PRGX,0
RUBIO'S RESTAURANTS INC,2010q1,RUBO,0
LEGACY RESERVES INC,2010q1,LGCYQ,0
CONOCOPHILLIPS,2010q1,COP,0
LINCOLN NATIONAL CORP,2010q1,LNC,0
ULURU INC,2010q1,ULUR,0
RADIANT SYSTEMS INC,2010q1,RADS,0
QUALITY DISTRIBUTION INC,2010q1,QLTY,0
TIVO CORP,2010q1,TIVO,0
GENESEE & WYOMING INC  -CL A,2010q1,GWR,0
AMCOL INTERNATIONAL CORP,2010q1,ACO,0
AMERICAN PACIFIC CORP,2010q1,APFC,0
NVE CORP,2010q1,NVEC,0
TEKELEC,2010q1,TKLC,0
TRANSACT TECHNOLOGIES INC,2010q1,TACT,0
